??????????	20 Rock Musical Greats		Kokoelma			
22 Pistepirkko	Lime Green Delorean	Suomi				
28 International Hits vol. 3	28 International Hits vol. 3		Kokoelma	Pöpilä		
40 Supergreats	40 Top Ten Hits		Kokoelma	Pöpilä		
ABBA	Greatest Hits Vol. 2		Kokoelma			
ABBA	Arrival					
ABBA	Super Trouper					
Aivolävistys	Sotamaa	Suomi				
Alice Donut	The Ass Trilogy					
Amberla, Tuula	Pienet Sanat	Suomi				
Antiviisut	Antiviisut	Suomi	Kokoelma			
Army Of Lovers	Massive Luxury Overdose - U.S. Edition					
Band of The Life Guards, The	Soldiers of the Queen			Pöpilä		
Billy Corbham/George Duke band, The	"Live" On Tour In Europe			Pöpilä		
Bon Jovi	Slippery When Wet					
Bush, Kate	Hounds Of Love					
Caramba	Caramba					
Carpenters	The Singles 1969-1973					
Chopin	Ballades And Impromptus	Klassinen				
Circle Jerks	Group Sex					
Commodores	Brick House		EP			
Cows	Daddy Has A Tail!					
Cultivated Bimbo	Configuration 2					
Deep Purple	Fireball					
Dingo	Kerjäläisten Valtakunta	Suomi				
Disco Rocket	20 Original Hits		Kokoelma			
Doors, The	The Best of Doors		Kokoelma			
Dope, Guns And Fucking In The Streets	Volume 1-3		Kokoelma			
Doublehits	Doublehits A  (DH-7022)		Kokoelma	Pöpilä		
Doublehits	Doublehits B  (DH-7022)		Kokoelma	Pöpilä		
Eevil Stöö	Iso Vauva Jeesus	Suomi				
Eloranta, Tuulikki	Niin Lähellä	Suomi		Pöpilä		
Emmanuelle	The Original Film Soundtrack					
Eppu Normaali	Imperiumin Vastaisku	Suomi				
Eppu Normaali	Kahdeksas Ihme	Suomi				
Eurohits	15 Original Eurohits		Kokoelma			
Euroline	Euroviisut 1976	Suomi	Kokoelma			
Europa	Top Disco		Kokoelma	Pöpilä		Ei Sleeveä
Eurovision Gala	25 Years Eurovision Song Contest Winners 1956-1981		Kokoelma			
Finnhits	80-luvun Finnhits 4	Suomi	Kokoelma	Pöpilä		
Finnhits	Uusi Finnhits, 14 Huippuhittiä	Suomi	Kokoelma	Pöpilä		
Finnhits	14 Huippu Hittiä	Suomi	Kokoelma			
Finnhits		Suomi	Kokoelma			
Finnhits	80-luvun Finnhits 1	Suomi	Kokoelma			
Finnhits	80-luvun Finnhits 3	Suomi	Kokoelma			
Finnhits 2		Suomi	Kokoelma			
Finnhits 5		Suomi	Kokoelma			
Finnhits 6		Suomi	Kokoelma			
Finnhits 7		Suomi	Kokoelma			
Finnhits 8		Suomi	Kokoelma			
Finnhits 9		Suomi	Kokoelma	Pöpilä		
Finnhits 9		Suomi	Kokoelma			
Finnlevy	Joulun Toivekonsertti	Suomi	Kokoelma			
Flamingo Rocks		Suomi	Kokoelma			
Flashdance	Original Soundtrack From The Motion Picture					
Flipper	Blow'n Chunks					
Fonzie Favorites	Fonzie Favorites		Kokoelma			
Franklin, Aretha	Jump To It					
Frederik	Ramaya	Suomi				
Fredi	Avaa Sydämesi Mulle	Suomi				
Freud Marx Engels & Jung	Siunattu Hulluus	Suomi				
Frivolvol	Who Needs Maps When We Got Time?	Suomi				
Gandhi	The Original Film Soundtrack			Pöpilä		
Garbo	Julma Maa	Suomi				
Gloria Gaynor	Never Can Say Goodbye					
Hair	The Aquarius					
Hans Ehrlinger Orkestereineen	Extuson (Yskän hillintään Extuson Big Band)			Pöpilä		
Hardcastle, Paul	Paul Hardcastle					sleeve puuttuu
Hasselhoff, David	Lovin Feelings					
Hendrix, Jimi	Band of Gypsys					
Hittiparaati	Hittiparaati 8	Suomi	Kokoelma	Pöpilä		
Hittiparaati	Hittiparaati 3	Suomi	Kokoelma			
Hittiparaati	Hittiparaati 9	Suomi	Kokoelma			Hirveä kunto
Hittitusina	Hittitusina	Suomi	Kokoelma	Pöpilä		
Hopeajärvi	Hopeajärvi	Suomi				
Horse Attack Sqwad	Älä Koske Mun Hevoon	Suomi				
Huipulla 15	Eurovisio Special	Suomi	Kokoelma			
Hulda Huima Ja Hitaat Sekunnit		Suomi				
Jackpot	Win With Jackpot					
Jesus Christ Superstar	Jesus Christ Superstar					
Jokamiehen Albumi	Jokamiehen Albumi	Suomi	Kokoelma	Pöpilä		
Joulun Suuri Toivekonsertti	27 Suosituinta Joululaulua	Suomi	Kokoelma	Pöpilä	Joulu	
Jukebox	Ulvoo Rakkautta	Suomi				
Kallio, Reijo	Viikonloppuisä	Suomi		Pöpilä		
Kansa, Tapani	Puolella Elämän	Suomi		Pöpilä		
Kansa, Tapani	Joululauluja	Suomi			Joulu	
Kansa, Tapani	Kenties	Suomi				
Kansanturvamusiikkikomissio	"666"	Suomi				
Kaupungin Valot	Laulunmaa	Suomi				
Kaupungin Valot	Salaista musiikkia	Suomi				
Kesähitit	Kesähitit (Finnhits/FTV23)	Suomi	Kokoelma	Pöpilä		
Kesähitit	Kesähitit (Finnhits/FTV25)	Suomi	Kokoelma	Pöpilä		
Kesähitit	Kesähitit (K-tel/TS-4103)	Suomi	Kokoelma			
Killdozer	Snakeboy					
Killdozer	Twelve Point Buck					
Kun Joulupukki Suukon Sai	Kun Joulupukki Suukon sai	Suomi	Kokoelma		Joulu	
Laiho, Simo	Hammond Hitit	Suomi				
Lapin Lahden Linnut	Lapin Lahden Linnut	Suomi	Kokoelma			
Lee, London	The Rich Kid					
Leevi And The Leavings	Häntä Koipien Välissä	Suomi				
Leevi And The Leavings	Raha Ja Rakkaus	Suomi				
Lemmen Pyssyt	IIII	Suomi				
Litku Klemetti & Tuntematon Numero	Horror '15	Suomi				
Loiri, Vesa-Matti	Eino Leino	Suomi				
London Symphony Orchestra, The	Classic Rock	Klassinen	Kokoelma			
London Symphony Orchestra, The	Star Wars					
Maailman Kauneínta Taidemusiikkia	Osa 1	Klassinen	Kokoelma			
Maailman Kauneínta Taidemusiikkia	Osa 2	Klassinen	Kokoelma			
Maailman Kauneínta Taidemusiikkia	Osa 3	Klassinen	Kokoelma			
Maailman Kauneínta Taidemusiikkia	Osa 6	Klassinen	Kokoelma			
Madonna	You Can Dance					
Maijanen, Pave	Maailman Tuulet	Suomi				
Malopoets	Malopoets			Pöpilä		
Marley, Bob & The Wailers	Kaya					
McFerrin, Bobby	Bobby McFerrin			Pöpilä		
Miettiin	Pitäis vissiin elää	Suomi				
Miljoonasade	Lelukaupan Häät	Suomi				
Miljoonasade	Veitsen Valossa	Suomi				
Misfits	Misfits 1996-2001 "Cuts From The Crypt"					
Mitä Suomi Soittaa 12	Mitä Suomi Soittaa 12 (Syksyn sävelet)	Suomi	Kokoelma	Pöpilä		
Music For Lovers	Music For Lovers		Kokoelma			
Mustajärvi, Pate	Nyt!	Suomi				
Nelson, Willie	Georgia On My Mind					
Numero Uno	Uno			Pöpilä		
Ohio Players	Skin Tight			Pöpilä		
Orvokkeja Äidille	Orvokkeja Äidille	Suomi	Kokoelma			
Pedro's Heavy Gentlemen	Pedro's Christmas	Suomi		Pöpilä	Joulu	
Pet Shop Boys	Actually					
